creation_date,n
2022-03-31 00:00:00+00:00,35
2022-04-30 00:00:00+00:00,22
2022-05-31 00:00:00+00:00,20
2022-06-30 00:00:00+00:00,11
2022-07-31 00:00:00+00:00,3
2022-08-31 00:00:00+00:00,8
2022-09-30 00:00:00+00:00,15
2022-10-31 00:00:00+00:00,7
2022-11-30 00:00:00+00:00,14
2022-12-31 00:00:00+00:00,13
2023-01-31 00:00:00+00:00,10
2023-02-28 00:00:00+00:00,6
2023-03-31 00:00:00+00:00,4
2023-04-30 00:00:00+00:00,3
2023-05-31 00:00:00+00:00,2
2023-06-30 00:00:00+00:00,7
2023-07-31 00:00:00+00:00,6
2023-08-31 00:00:00+00:00,9
2023-09-30 00:00:00+00:00,13
2023-10-31 00:00:00+00:00,11
2023-11-30 00:00:00+00:00,4
2023-12-31 00:00:00+00:00,15
2024-01-31 00:00:00+00:00,3
2024-02-29 00:00:00+00:00,3
